ID_Entidad,Distrito,ID_Circunscripcion,Porcentaje1,Porcentaje2,Porcentaje3,Promedio1
14,14,1,0.21890248945496651,0.1284028559049585,0.99688818129187,3.5497890993300802
14,15,1,0.472270192480662,0.2875523005638216,0.9795556754812017,3.7884241770102536
14,16,1,0.3172431199689914,0.1544760180759764,0.9819627356066957,3.764848517627122
14,17,1,0.45225110970196575,0.24178174736121286,0.9810740939466368,3.6254621725769476
14,18,1,0.5004479701353243,0.27790629575402637,0.9632197853476435,3.4453569762015865
14,19,1,0.4335786825677816,0.26202648013650537,0.9788409577937203,3.634575607938135
14,2,1,0.47374915862687905,0.28149286745271523,0.9668549982662614,3.814398188753136
14,20,1,0.43784112450373763,0.2008465135802735,0.9685110340140921,3.681333381022211
14,3,1,0.41743436108683896,0.30102709894801327,0.9805101319019681,3.580243831398494
14,4,1,0.21934245035593855,0.13919461576870873,0.9425252903709255,3.649025852379168
14,5,1,0.34862449684734853,0.1895040593378661,0.971902377423683,3.3718988696056336
14,6,1,0.19956166331003436,0.10406097886586292,0.9700404112203662,3.5032315813029
14,7,1,0.2906593352835856,0.14612374368610684,0.9881615121955992,3.8307976792650353
14,8,1,0.14116782114195617,0.07062083452819824,0.9872978191932255,3.0196910376105017
14,9,1,0.2379822021629907,0.14883860508181182,0.9973175508813762,3.753150813250447
15,1,5,0.7221543319448037,0.2933373326108832,0.8076871616016555,3.858031023379033
15,10,5,0.3000059601859578,0.12057851706462955,0.955854889339214,3.639140541184885
15,11,5,0.3191183517010062,0.12912672128290048,0.9766875605057548,3.6269520745528685
15,12,5,0.3257028558728748,0.12415489034588925,0.9797477497499723,3.689484016742601
15,13,5,0.2621352921449203,0.11463833277086485,0.9920053658167184,3.721107348788905
15,14,5,0.19414435711928063,0.10204516742879145,0.9948526722392214,3.380081536526401
15,15,5,0.23265602708043492,0.12095440737275209,0.9929551879059628,3.507926521280649
15,16,5,0.38240755577758717,0.1678267404618756,0.984343629525596,3.5235034074520932
